no	pName	teamName	projectWebsite	mentorOrg	shortDesc	longDesc	gLink	email	tags
13	IoTDirfram	Code Crafters 	http://165.227.161.136:3000	bitm	"The project aims to hack firmware and chip model info from IoT devices using a raspberry pi, as well as obtaining real-time voltage info of said devices when connected via USB or UART."	"Developing software for a
Raspberry Pi that automatically
executes when connected via USB
or UART to retrieve information
from an IoT device. The software
will gather details such as
firmware version, chip model, and
voltage usage, compiling them
into an XML format. This
information can be stored
onboard the Raspberry Pi or
transmitted to another system for
analysis."	https://github.com/COS301-SE-2024/IoT-DIRfram	codecrafters2024.capstone@gmail.com	"hardware, security, security-based, hacking, event-driven, real-time analysis"
14	GDPR Data Noncompliance Detector	AprilFour	#	deloitte	"GND, a robust GDPR detection system utilizing advanced AI algorithms to identify and analyze documents for potential GDPR violations, ensuring compliance and protecting user privacy."	"GND is a cutting-edge GDPR detection system designed to help organizations ensure compliance with data protection regulations. Leveraging advanced AI algorithms, GND meticulously scans and analyzes documents to identify potential GDPR violations. By automating the detection process, it delivers efficient and accurate results, significantly reducing the manual effort required for compliance checks. This not only enhances the reliability of the compliance process but also saves valuable time and resources. Additionally, GND provides detailed reports and actionable insights, empowering organizations to address compliance issues proactively and maintain robust data protection standards."	https://github.com/COS301-SE-2024/GDPR-data-noncompliance-detector	aprilfour301@gmail.com	"GDPR, Compliance, Data-Protection, AI, Automation, Document-Analysis, Privacy-Protection, Compliance-Tool, Data, Data-Security, Regulation, Regulation-Compliance, AI, AI-powered, Risk, Risk-Management, Machine-Learning, Efficiency, Accuracy, Compliance-reports, Reporting, OCR, ML, Artificial-Intelligence, Personal-information, Personal-data, Protection, EU, LLM-integrations"
15	BeakPeek	Millennium	#	agb	"BeakPeek makes birding as easy as fly! BeakPeek helps with all your birding needs, like generating heat maps of any Southern African bird and letting you complete fun quizzes to expand your birding knowledge!"	"BeakPeek strives to make birding as easy as possible. Allowing users access to all features required for birding while completely offline. We also have features made for conservationists, allowing them to mark down the location of nests and to track specific birds by their tags. Birders also gain access to a levelign system where you get to compete with your friends by earning experience points through bird sightings or quiz completions!"	https://github.com/COS301-SE-2024/BeakPeek	millennium.capstone@gmail.com	"birding,conservation,heat-map,user-first-design,responsive"
16	ABC Travel Planner	Tech Titans	#	epi	"The ABC Travel Planner is a comprehensive platform that integrates international flights, accommodation, and activities for personalized itineraries. It offers social media features that allow travelers to share and view others' experiences."	"The ABC Travel Planner is a comprehensive software system designed to streamline travel planning by integrating flights, accommodations, and activities into a single, user-friendly platform focused on itinerary building. Users can search for destinations, access detailed information including images, reviews, and activities, and create personalized itineraries. The platform emphasizes a social media experience where travelers can share their itineraries, comment, and like others' posts. User data is securely stored, linked to individual profiles for easy access to past itineraries, and managed through an integrated admin system to ensure the platform remains up-to-date and user-friendly."	https://github.com/orgs/COS301-SE-2024/teams/tech-titans/repositories	techtitans.capstone@gmail.com	"user-friendly, user-first-design, AI, service-orientated, travel, social media, itinerary building "
17	Smart Inventory	Helix	https://main.d3gug5lppb7gce.amplifyapp.com/	aws	"The Smart Inventory System not only tracks and organizes your stock, but also automates reordering based on real-time data, ensuring you never run out and avoid excessive storage costs."	"Take control of your stock with Smart Inventory, a user-friendly web-based application that streamlines and automates core inventory processes. Gain real-time visibility into your stock levels, eliminate stockouts, and ensure smooth operations.  Smart Inventory empowers users at all levels, from business owners who can make data-driven decisions with insightful reports to employees who can simplify ordering with automated suggestions and manage stock movements with ease.  This comprehensive solution caters to various user roles and includes features like user-friendly interface, role-based access control, automated reordering, supplier management, and more, making Smart Inventory your one-stop shop for efficient inventory management."	https://github.com/COS301-SE-2024/Smart-Inventory	helixcapstone@gmail.com	"Automation, Machine Learning, Inventory Management, Reporting, Data-driven, Supplier management, Business management, user-friendly"
18	Lookout	Team SEGFAULT	lookoutcapstone.xyz	labs	"Lookout is a modern, user-friendly web application that revolutionises how nature enthusiasts, conservationists and hikers interact with and share information about their experiences in the outdoors."	"Lookout is a pioneering Progressive Web App (PWA) crafted to elevate the animal spotting experience for nature enthusiasts. This state-of-the-art platform enables users to effortlessly record and share their animal sightings while fostering a global community. By combining social interaction with intuitive functionality, Lookout transforms the animal spotting journey into a more engaging, interactive, and rewarding adventure."	https://github.com/COS301-SE-2024/Lookout	team.segfault.capstone@gmail.com	"nature, animal-spotting, Progressive-Web-App, social-interaction, geo-tagging, community-driven, service-oriented, layered, model-view-controller, user-friendly, innovative, real-time-sharing, offline functionality, wildlife, mobile-friendly"
19	Web Exploration Engine	Tech Odyssey	https://capstone-wee.dns.net.za/	dns	"The Web Exploration Engine (WEE) automates the extraction of critical website information, delivering user-friendly insights and actionable data. It helps users enhance their websites' performance and user experience through data-driven decisions."	"The Web Exploration Engine (WEE) is an advanced web scraping and analysis platform designed to automate the extraction of critical information from websites. Leveraging cutting-edge scraping technologies and natural language processing (NLP) algorithms, WEE provides comprehensive insights and actionable data through an intuitive and responsive user interface. The platform empowers users to identify strengths, weaknesses, and opportunities for improvement in their websites, enhancing overall performance and user experience."	https://github.com/COS301-SE-2024/Web-Exploration-Engine	techodyssey.capstone@gmail.com	"Web Scraping, Website Analysis, Information Extraction, Natural Language Processing, Sentiment Analysis, Automation, Responsive Design, Website Monitoring, Comprehensive Reporting"
20	WriteMe	Dynasty Devs	https://writeme.co.za	labs	"WriteMe revolutionizes collaborative writing with cutting-edge NLP tools to enhance storytelling, character development, and emotional impact. Think GitHub for writers—share, create, and enjoy stories with a supportive community, transforming the writing experience."	"WriteMe is a revolutionary platform for collaborative writing. Using Natural Language Processing, it offers tools to enhance narrative structures, character development, and emotional impact. Like GitHub for writers, users can share, create, and enjoy stories with community support, transforming writing into a collaborative experience."	https://github.com/COS301-SE-2024/WriteMe	hi@dynasty-devs.com	"nlp, pwa, AI, writing, blogging"
21	Amplify	Isidore	#	labs	"A cutting-edge simulation platform, designed to transform the way we manage energy, as well as optimize grid operations."	Amplify consists out of three primary components. The market platform allows users to buy and sell electricity on a free market. Price on this platform will be dynamically updated to balance supply and demand and ensure grid stability. The market platform will also show historical data to allow users to make informed decisions. A scientifically accurate simulation of an electrical grid is in place to test the market platform on. Lastly a system to mock user agents for large scale testing of the platform. 	https://github.com/COS301-SE-2024/Open-Electricity-Market	isidore.capstone@gmail.com	"service-oriented, user-friendly, physical simulation, parallelism, free-market"
22	Occupi	Y2Kode	https://occupi.tech/	deloitte	Occupi is an office capacity predictor application that gives employees and managers office occupancy predictions based on past occupancy data. The app also provides room management including creating and managing office room bookings.	"The Occupi Office Capacity Prediction system revolutionizes office space management by utilizing advanced machine learning algorithms and predictive models. It effectively addresses the challenges of managing office occupancy by providing real-time updates on current capacity and predicting future trends. By leveraging historical data alongside real-time inputs, the system empowers office managers to make informed decisions about space utilization, enhancing both immediate and long-term planning. Employees and visitors benefit from real-time capacity status updates, while office managers and owners gain access to detailed future occupancy predictions, enabling optimised space usage and improved operational efficiency. In addition to occupancy predictions, the Occupi system includes a comprehensive room management feature, allowing employees to create and manage room bookings seamlessly. Our system also boasts a high level of security, integrating robust database protections, firewall services, Cloudflare for enhanced security and performance, and a CDN for fast and reliable content delivery. Our web interface is highly customisable, allowing office managers to tailor the user experience to fit their unique organisational needs. As Y2Kode, we have developed this innovative solution using a mobile application, as well as a web application, and a desktop application for providing managerial services and delivering more detailed predictive outputs. By continuously refining our predictive models, the Occupi system introduces a dynamic, data-driven approach to office capacity management that benefits daily users and enhances overall office operations."	https://github.com/COS301-SE-2024/occupi	y2kode.labs@gmail.com	"AI, Real-Time Processing, Machine Learning, Cloud Computing, Cross-platform, Mobile, Web, Desktop"
23	WhatsOn@UP	DevForce	https://cos301-se-2024.github.io/WhatsOn-UP/	labs	"WhatsOn@UP is a central hub for university events, providing a centralized platform for students and guests to easily find and manage events."	"Students often miss out on enriching experiences outside of academics due to the difficulty of finding and managing various campus events. Current methods rely on scattered sources, making it challenging for students and university guests to stay informed and involved. The  WhatsOn@UP system is a central hub for managing events.

Imagine a centralised hub where all university events are readily discoverable. Students and guests can effortlessly browse public events or search for specific interests using clear filters. Need to navigate to an event? A built-in map ensures you stay on course. Adding events to your personal calendar? Just a single tap keeps you organised."	https://github.com/COS301-SE-2024/WhatsOn-UP	devforce.capstone@gmail.com	"user-friendly, service-oriented, event-driven, navigation, AI, user-first-design"
24	ECHO	Half Stack	#	labs	"ECHO is a cutting-edge Angular-based Progressive Web Application powered by AI, designed to integrate seamlessly with multiple music streaming platforms. It offers personalised song recommendations by leveraging Sentiment Analysis to categorise music based on abstract themes, such as mood or theme."	"ECHO is a cutting-edge Progressive Web Application built with Angular and powered by advanced AI technology, designed to revolutionise music discovery. Seamlessly integrating with multiple music streaming platforms, ECHO offers a highly personalised listening experience by using sophisticated Sentiment Analysis to categorise music based on abstract themes such as mood and genre. The platform features personalised song recommendations, detailed artist profiles, and dynamic modal displays for song and album information, all designed to enhance user engagement. It also includes sections dedicated to favourite and recommended moods, as well as users' listening insights. Utilizing Tailwind CSS for sleek design and Angular Material for polished UI components, ECHO combines modern aesthetics with functionality to create a visually striking and user-friendly experience."	https://github.com/COS301-SE-2024/ECHO	halfstack.capstone@outlook.com	"AI, music, sentiment-analysis, user-friendly, PWA, user-friendly, machine-learning"
25	Smart Storage Organizer	Syntax Savants	#	epi	"The Smart Storage Organizer app by Syntax Savants helps users efficiently organize and locate their belongings with ease. It allows systematic cataloging, ensuring quick retrieval and enhanced organization."	"Traditional storage organization methods often rely on manual labelling and searching,
leading to wasted time and frustration.
This project focuses on creating an application that will help users efficiently organize
and easily locate their belongings. It aims to solve the problems associated with traditional
storage methods, such as manual labelling and searching, which often result in
wasted time and frustration
The objective of this project is to design and implement a system that simplifies item
labelling and identification using QR codes and color coding. The key features of the
system include:
• Simplify item labeling and identification using QR codes and color coding.
• Enhance searchability through text and voice search functionalities.
• Offer potential for enhanced search accuracy using AI integration."	https://github.com/COS301-SE-2024/Smart-Storage-Organizer-Application	syntaxsavants98@gmail.com	"AI, Service Oriented, Smart Search, user-friendly, digital cataloging, QR codes"
26	Query Builder	Ctrl Alt Elites	capstone-qbee.dns.net.za	dns	"QBee is an innovative system that transforms how users interact with databases, regardless of their technical skill level. By replacing traditional query methods with an intuitive user-friendly form interface, QBee makes database querying effortless."	"QBee is an innovative solution that transforms how users interact with databases, regardless of their technical skill level. By replacing traditional query methods with an intuitive user-friendly form interface, QBee makes database manipulation effortless and enables real-time query collaboration. It ensures robust data privacy and integrity, providing a secure environment for users.

Beyond basic query building, QBee offers tools to visualize data through generated graphs, facilitating deeper insights and enhancing user experience and efficiency.

QBee is the ultimate tool for modern database management and analysis."	https://github.com/COS301-SE-2024/Query-Builder	ctrlaltelitesdevs@gmail.com	"databases, user-friendly, SQL, query-builder, graphing, data, reports"
